stu_id,stuf_name,stul_name,stu_add,stu_dob,stu_email,stu_gender
1,Lilah,Szymanek,Areia Branca,1990-05-22,lszymanek0@unblog.fr,Female
2,Allison,Izon,Areia Branca,1991-08-14,aizon1@php.net,Female
3,Melisenda,Aspell,Areia Branca,1995-02-21,maspell2@weebly.com,Female
4,Dolli,Ferenczi,Zarszyn,1988-11-15,dferenczi3@google.cn,Female
5,Joe,Harrington,Kabir,1990-12-14,jharrington4@google.com.br,Female
6,Kenneth,Garnson,Fuli,1998-03-29,kgarnson5@wiley.com,Female
7,Lem,Ropars,Minyat an Nasr,1998-07-16,lropars6@devhub.com,Male
8,Yoshiko,Brampton,Kabir,1989-06-09,ybrampton7@ehow.com,Male
9,Cesar,Leimster,Przelewice,1994-09-05,cleimster8@howstuffworks.com,Male
10,Petey,Bockmann,Onsala,1995-04-20,pbockmann9@meetup.com,Male
11,Taddeo,Wards,Livorno,1997-02-09,twardsa@irs.gov,Male
12,Darell,Buzek,Livorno,1989-06-12,dbuzekb@facebook.com,Female
13,Gayler,Conichie,Kabir,1997-11-30,gconichiec@joomla.org,Male
14,Ashly,Celand,Onsala,1996-11-21,acelandd@samsung.com,Female
15,Lilian,Gateman,Cabanas,1994-07-30,lgatemane@utexas.edu,Male
16,Melanie,Rudman,Tabora,1989-06-12,mrudmanf@wiley.com,Female
17,Hetti,Baltrushaitis,Zuitou,1998-03-27,hbaltrushaitisg@narod.ru,Female
18,Emili,Cuardall,Mungui,1991-08-06,ecuardallh@nhs.uk,Male
19,Timmy,Juckes,Akim Swedru,1999-02-08,tjuckesi@wikispaces.com,Female
20,Beauregard,Hugle,Areia Branca,1998-03-13,bhuglej@virginia.edu,Male
21,Elsey,Danson,Kabir,1999-01-06,edansonk@washingtonpost.com,Male
22,Meta,Vallow,Mungui,1990-08-27,mvallowl@netlog.com,Male
23,Nessa,Youster,Cabanas,1986-01-01,nyousterm@qq.com,Female
24,Sande,Skelton,Areia Branca,1991-02-10,sskeltonn@bizjournals.com,Female
25,Halette,Issit,Livorno,1992-11-16,hissito@a8.net,Female
26,Felecia,Simonetti,Daoxian,2000-02-21,fsimonettip@telegraph.co.uk,Male
27,Finley,Izachik,Onsala,1989-06-17,fizachikq@examiner.com,Male
